Spørsmål ID,Spørsmål,A,DEMN,DNI,FRED,FRP,GENP,H,HELSE,INP,KRF,KRISTNE,MDG,PP,PS,RØDT,SP,SV,V
cddff7e3-94ad-4a17-ba6e-21cdc2e7b246,Det bør være forbud mot innleie av arbeidskraft fra bemanningsbyråer.,-1,-2,-2,2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,2,-2,1,-2
3259cb20-a537-5353-9f36-5141fa16b865,Å støtte Ukraina med våpen og penger er viktig for Europas framtid.,2,-2,2,-2,2,1,2,1,2,2,-2,2,1,2,1,2,2,2
6f0179c7-8c19-5896-abf4-787852837680,Det finnes menneskeskapte klimaendringer.,2,-2,1,2,2,2,2,1,1,2,-1,2,2,2,2,2,2,2
01e3a3bb-9cd2-511b-a7d5-3d2f775104e0,Ordninga med gratis ferje må avvikles.,-1,-2,-2,-2,-2,-2,2,-1,-2,-1,-2,1,-2,-1,-2,-2,-1,1
077fd3e9-4775-5a5e-b2b2-e0901cf96872,Skatte- og avgiftsnivået for norske bedrifter er altfor høyt.,-2,2,1,-1,2,2,2,2,2,2,2,-1,1,1,-2,1,-2,2
0c3bab82-650d-46f1-bcf3-f02d53628b8f,Norge må avvikle kongehuset og bli republikk.,-2,-2,-2,2,-2,-1,-2,-1,-2,-2,-1,-1,-2,-2,2,-2,2,1
15e6e2b6-4ea9-40ab-a639-e943a191cfd9,Pasienter som har jobb skal få tilbud om raskere helsehjelp enn andre.,-1,1,-2,-2,-2,1,2,-2,1,1,-2,-2,-1,-2,-2,-1,-2,1
1ad6ed93-6ccf-58ee-9cff-bb7ac382aa5a,De som mottar uføretrygd eller arbeidsavklaringspenger må få mer utbetalt.,1,2,2,2,-1,2,-2,1,2,-1,-1,1,2,2,2,1,2,-1
1d39ad58-7747-59c1-9f27-b294438dd414,Kommunene må stoppes når de vil ofre natur for å bygge hyttefelt og næringsområder. ,-1,2,-1,2,-2,2,-2,-1,1,1,-2,2,1,2,2,-2,2,2
2acfc192-f7f7-5e84-a14f-f5ddcbce2bda,Den kriminelle lavalderen bør senkes til 14 år.,-2,2,-2,-2,2,-2,-2,-1,-1,-2,2,-2,2,-2,-2,-2,-2,-2
4349011a-36ce-5194-9436-334730ad35fa,Boligsparing for ungdom (BSU) fungerer best for de med god råd og bør avskaffes.,-1,-2,-2,1,-2,-2,-2,-1,-2,-1,-2,1,-1,-2,1,-2,2,2
62f65d22-2e45-59e9-93a5-d06d114f275b,Det blir gitt for mye offentlig pengestøtte til kultur.,-2,2,-1,-2,2,1,1,-1,1,-2,2,-2,-2,-2,-2,-1,-2,-2
6d04a668-ccc2-566d-b14a-086df60aca80,Det bør være en avgift eller skatt på å arve store verdier.,-2,-2,-1,2,-2,-2,-2,-2,-2,-2,-2,2,-2,2,2,-2,2,-1
